pareto_alpha,policy,mean_slowdown,p99_turnaround,mean_turnaround
1.1,srtf,1.1097,57,9.535
1.1,rr,2.3914,74,12.432
1.1,mlfq,1.2351,72,10.623
1.1,cfs,4.7149,68,15.584
1.3,srtf,1.3083,132,17.073
1.3,rr,3.5606,178,29.888
1.3,mlfq,2.0694,178,24.785
1.3,cfs,3.7785,174,29.975
1.5,srtf,1.4750,158,19.614
1.5,rr,4.1191,209,38.158
1.5,mlfq,2.7776,236,32.755
1.5,cfs,3.9067,222,36.408
2.0,srtf,1.8372,234,23.578
2.0,rr,5.4113,216,50.201
2.0,mlfq,4.5666,281,50.361
2.0,cfs,4.7680,251,47.611
2.5,srtf,2.1293,268,26.469
2.5,rr,5.5470,207,53.502
2.5,mlfq,6.6422,331,66.793
2.5,cfs,5.5050,257,54.972
3.0,srtf,2.3493,278,28.852
3.0,rr,5.7383,212,56.650
3.0,mlfq,8.5143,313,81.475
3.0,cfs,6.1749,255,61.339
